dual_mean,final_mean,method,pass_rate_%,passed,source_item_type,target_item_type,total
3.598,8.915,DPEL,93.52,1659,,,1774
3.126,7.366,SCHEMA,62.29,218,Obligation,Obligation,350
3.5,8.397,SCHEMA,84.62,66,Permission,Obligation,78
2.833,6.5,SCHEMA,50.0,6,Other,Obligation,12
2.833,6.611,SCHEMA,41.67,15,Definition,Obligation,36
2.618,5.987,SCHEMA,35.53,27,Scope,Obligation,76
2.787,6.362,SCHEMA,56.38,53,Procedure,Obligation,94
3.018,7.571,SCHEMA,69.64,39,Prohibition,Prohibition,56
3.286,7.667,SCHEMA,71.43,30,Obligation,Permission,42
3.108,7.27,SCHEMA,63.96,71,Obligation,Procedure,111
1.891,4.422,SCHEMA,35.94,23,Definition,Definition,64
3.111,7.611,SCHEMA,61.11,22,Procedure,Permission,36
3.067,7.167,SCHEMA,60.0,18,Obligation,Scope,30
2.915,6.797,SCHEMA,52.54,31,Obligation,Definition,59
2.735,6.559,SCHEMA,61.76,21,Scope,Definition,34
2.944,7.139,SCHEMA,63.89,23,Scope,Procedure,36
3.75,9.0,SCHEMA,100.0,4,Definition,Scope,4
2.688,6.875,SCHEMA,62.5,10,Scope,Prohibition,16
2.733,6.489,SCHEMA,57.78,26,Obligation,Prohibition,45
3.203,7.743,SCHEMA,72.97,54,Permission,Permission,74
2.967,7.1,SCHEMA,56.67,17,Permission,Procedure,30
3.5,9.167,SCHEMA,100.0,6,Prohibition,Permission,6
2.5,5.944,SCHEMA,55.56,10,Permission,Prohibition,18
2.409,5.75,SCHEMA,54.55,24,Prohibition,Obligation,44
3.55,8.25,SCHEMA,75.0,15,Scope,Permission,20
1.917,4.583,SCHEMA,50.0,6,Prohibition,Procedure,12
2.333,6.0,SCHEMA,66.67,4,Definition,Prohibition,6
3.147,7.412,SCHEMA,76.47,26,Procedure,Prohibition,34
2.213,5.319,SCHEMA,44.68,21,Scope,Scope,47
2.75,6.667,SCHEMA,50.0,6,Permission,Scope,12
3.0,7.125,SCHEMA,50.0,4,Permission,Definition,8
2.042,4.417,SCHEMA,16.67,4,Procedure,Definition,24
2.523,5.897,SCHEMA,37.38,40,Procedure,Procedure,107
3.25,9.25,SCHEMA,100.0,4,Definition,Permission,4
3.357,8.571,SCHEMA,85.71,12,Prohibition,Definition,14
2.7,6.6,SCHEMA,30.0,3,Procedure,Scope,10
1.0,3.0,SCHEMA,0.0,0,Permission,Other,4
3.5,7.5,SCHEMA,50.0,2,Definition,Procedure,4
1.75,4.25,SCHEMA,0.0,0,Obligation,Other,4
